0,1,2,3,4,5,6,7,8,9,10
0,אוסילה,אבו אסעד ,f,שופטת,OSAILA ABU ASSAD,alive,working,mehozi,tzafon,nazrat
1,נסר,אבו טהה ,m,שופט,NASIR ABU TAHA,alive,working,mehozi,darom,bash
2,כאמל,אבו קאעוד ,m,שופט,KAMEL ABOU KAOUD,alive,working,avoda,tlv,tlv
3,הישאם,אבו שחאדה ,m,שופט,HISHAM ABOU SHEHADEH,alive,working,mehozi,merkaz,ramle
4,אחמד,אבו פריחה ,m,שופט,AHMED ABU FREHA,alive,working,mehozi,darom,bash
5,ערן,אביטל ,m,רשם,ERAN AVITAL,alive,working,mehozi,darom,kiryatgat
